,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,芒果-紅龍玉文,R2,45.0,45.0,台北一,109,45.0,45.0,4.0,2012,4,21,5
1,芒果-紅龍玉文,R2,50.0,50.0,台北一,109,50.0,50.0,5.0,2012,4,24,1
2,芒果-紅龍玉文,R2,95.0,85.0,台北一,109,90.9,91.5,66.0,2012,5,5,5
3,芒果-紅龍玉文,R2,90.0,90.0,台北一,109,90.0,90.0,8.0,2012,5,6,6
4,芒果-紅龍玉文,R2,80.0,75.0,台北一,109,78.8,79.7,26.0,2012,5,8,1
5,芒果-紅龍玉文,R2,62.3,47.7,台北一,109,55.8,56.4,258.0,2012,5,10,3
6,芒果-紅龍玉文,R2,55.0,48.8,台北一,109,52.8,53.3,120.0,2012,5,11,4
7,芒果-紅龍玉文,R2,60.1,44.7,台北一,109,51.4,50.7,228.0,2012,5,12,5
8,芒果-紅龍玉文,R2,52.7,36.7,台北一,109,47.3,49.1,337.0,2012,5,13,6
9,芒果-紅龍玉文,R2,50.0,34.5,台北一,109,41.9,41.6,304.0,2012,5,15,1
10,芒果-紅龍玉文,R2,42.9,32.3,台北一,109,36.8,36.2,305.0,2012,5,16,2
11,芒果-紅龍玉文,R2,47.2,22.0,台北一,109,35.4,35.9,261.0,2012,5,17,3
12,芒果-紅龍玉文,R2,56.2,35.0,台北一,109,45.3,45.0,246.0,2012,5,18,4
13,芒果-紅龍玉文,R2,67.3,24.3,台北一,109,40.5,37.0,716.0,2012,5,19,5
14,芒果-紅龍玉文,R2,66.2,29.7,台北一,109,42.2,38.4,1234.0,2012,5,20,6
15,芒果-紅龍玉文,R2,47.8,29.5,台北一,109,35.9,34.0,1471.0,2012,5,22,1
16,芒果-紅龍玉文,R2,46.9,25.1,台北一,109,33.9,32.5,1210.0,2012,5,23,2
17,芒果-紅龍玉文,R2,30.0,30.0,台北一,109,30.0,30.0,121.0,2012,5,24,3
18,芒果-紅龍玉文,R2,40.0,20.0,台北一,109,31.0,31.6,235.0,2012,5,25,4
19,芒果-紅龍玉文,R2,34.1,21.9,台北一,109,28.9,29.4,438.0,2012,5,26,5
20,芒果-紅龍玉文,R2,36.0,21.8,台北一,109,26.6,25.0,327.0,2012,5,27,6
21,芒果-紅龍玉文,R2,26.7,18.0,台北一,109,23.3,23.9,1762.0,2012,5,29,1
22,芒果-紅龍玉文,R2,50.0,19.4,台北一,109,31.1,28.7,252.0,2012,5,30,2
23,芒果-紅龍玉文,R2,40.0,20.0,台北一,109,29.8,29.7,186.0,2012,5,31,3
24,芒果-紅龍玉文,R2,54.8,20.0,台北一,109,36.2,35.4,549.0,2012,6,1,4
25,芒果-紅龍玉文,R2,50.0,20.4,台北一,109,36.1,36.8,456.0,2012,6,2,5
26,芒果-紅龍玉文,R2,57.7,25.0,台北一,109,40.4,39.8,1030.0,2012,6,3,6
27,芒果-紅龍玉文,R2,63.0,24.8,台北一,109,38.5,35.0,628.0,2012,6,5,1
28,芒果-紅龍玉文,R2,31.2,21.1,台北一,109,26.9,27.4,259.0,2012,6,6,2
29,芒果-紅龍玉文,R2,74.1,23.9,台北一,109,45.7,43.5,430.0,2012,6,7,3
30,芒果-紅龍玉文,R2,72.3,25.0,台北一,109,49.7,50.3,554.0,2012,6,8,4
31,芒果-紅龍玉文,R2,75.0,28.0,台北一,109,58.8,63.6,741.0,2012,6,9,5
32,芒果-紅龍玉文,R2,66.5,33.8,台北一,109,51.5,52.4,991.0,2012,6,10,6
33,芒果-紅龍玉文,R2,54.2,24.8,台北一,109,40.6,41.3,864.0,2012,6,12,1
34,芒果-紅龍玉文,R2,38.2,26.5,台北一,109,31.6,31.0,390.0,2012,6,13,2
35,芒果-紅龍玉文,R2,76.9,28.6,台北一,109,55.7,57.7,554.0,2012,6,14,3
36,芒果-紅龍玉文,R2,65.0,34.7,台北一,109,51.8,53.2,540.0,2012,6,15,4
37,芒果-紅龍玉文,R2,83.3,30.0,台北一,109,57.1,57.4,1571.0,2012,6,16,5
38,芒果-紅龍玉文,R2,77.0,33.2,台北一,109,57.5,59.2,1089.0,2012,6,17,6
39,芒果-紅龍玉文,R2,79.3,27.1,台北一,109,52.2,51.4,3521.0,2012,6,19,1
40,芒果-紅龍玉文,R2,67.4,22.7,台北一,109,39.8,36.3,4219.0,2012,6,20,2
41,芒果-紅龍玉文,R2,64.8,22.5,台北一,109,40.3,38.0,2877.0,2012,6,21,3
42,芒果-紅龍玉文,R2,64.1,24.0,台北一,109,40.4,37.9,3818.0,2012,6,22,4
43,芒果-紅龍玉文,R2,63.3,22.1,台北一,109,40.7,39.3,1594.0,2012,6,23,5
44,芒果-紅龍玉文,R2,56.1,24.1,台北一,109,39.4,39.0,1625.0,2012,6,26,1
45,芒果-紅龍玉文,R2,49.3,21.8,台北一,109,35.5,35.5,1794.0,2012,6,27,2
46,芒果-紅龍玉文,R2,44.8,20.0,台北一,109,30.5,29.2,1609.0,2012,6,28,3
47,芒果-紅龍玉文,R2,51.9,23.2,台北一,109,35.8,34.7,2391.0,2012,6,29,4
48,芒果-紅龍玉文,R2,56.5,24.9,台北一,109,38.0,36.3,2640.0,2012,6,30,5
49,芒果-紅龍玉文,R2,66.2,20.4,台北一,109,39.5,36.9,5504.0,2012,7,1,6
50,芒果-紅龍玉文,R2,77.6,21.7,台北一,109,41.2,35.6,4869.0,2012,7,3,1
51,芒果-紅龍玉文,R2,80.7,24.7,台北一,109,44.2,38.6,1716.0,2012,7,4,2
52,芒果-紅龍玉文,R2,72.0,24.2,台北一,109,52.2,54.9,468.0,2012,7,5,3
53,芒果-紅龍玉文,R2,82.1,26.9,台北一,109,46.4,41.0,1833.0,2012,7,6,4
54,芒果-紅龍玉文,R2,91.5,32.3,台北一,109,59.0,57.1,732.0,2012,7,7,5
55,芒果-紅龍玉文,R2,71.3,29.7,台北一,109,49.1,48.1,2313.0,2012,7,8,6
56,芒果-紅龍玉文,R2,56.9,27.2,台北一,109,40.8,39.9,4511.0,2012,7,10,1
57,芒果-紅龍玉文,R2,66.5,28.0,台北一,109,41.4,37.5,2378.0,2012,7,11,2
58,芒果-紅龍玉文,R2,57.9,24.8,台北一,109,36.2,32.8,2392.0,2012,7,12,3
59,芒果-紅龍玉文,R2,49.4,29.4,台北一,109,37.9,36.8,2247.0,2012,7,13,4
60,芒果-紅龍玉文,R2,79.9,27.5,台北一,109,51.5,50.1,558.0,2012,7,14,5
61,芒果-紅龍玉文,R2,57.1,26.5,台北一,109,41.0,40.5,3805.0,2012,7,15,6
62,芒果-紅龍玉文,R2,49.2,32.2,台北一,109,40.1,39.7,4816.0,2012,7,17,1
63,芒果-紅龍玉文,R2,68.8,25.5,台北一,109,42.1,38.7,2637.0,2012,7,18,2
64,芒果-紅龍玉文,R2,65.8,32.0,台北一,109,45.5,43.2,1362.0,2012,7,19,3
65,芒果-紅龍玉文,R2,62.9,32.2,台北一,109,44.3,42.1,1080.0,2012,7,20,4
66,芒果-紅龍玉文,R2,73.4,37.5,台北一,109,57.7,59.2,132.0,2012,7,21,5
67,芒果-紅龍玉文,R2,64.6,30.0,台北一,109,44.2,42.0,1230.0,2012,7,22,6
68,芒果-紅龍玉文,R2,56.4,35.0,台北一,109,42.2,39.9,1062.0,2012,7,24,1
69,芒果-紅龍玉文,R2,70.0,42.3,台北一,109,60.9,64.0,433.0,2012,7,25,2
70,芒果-紅龍玉文,R2,45.0,30.0,台北一,109,35.2,33.6,396.0,2012,7,26,3
71,芒果-紅龍玉文,R2,75.0,75.0,台北一,109,75.0,75.0,18.0,2012,7,27,4
72,芒果-紅龍玉文,R2,94.6,35.6,台北一,109,63.4,62.3,125.0,2012,7,28,5
73,芒果-紅龍玉文,R2,49.8,41.9,台北一,109,45.3,45.0,126.0,2012,7,29,6
74,芒果-紅龍玉文,R2,40.0,37.0,台北一,109,39.4,40.0,30.0,2012,7,31,1
75,芒果-紅龍玉文,R2,68.1,23.4,台北一,109,38.2,33.1,294.0,2012,8,1,2
76,芒果-紅龍玉文,R2,50.0,35.0,台北一,109,46.3,48.8,24.0,2012,8,2,3
77,芒果-紅龍玉文,R2,50.0,25.0,台北一,109,45.0,50.0,120.0,2012,8,4,5
78,芒果-紅龍玉文,R2,55.0,20.0,台北一,109,43.3,47.2,18.0,2012,8,8,2
79,芒果-紅龍玉文,R2,45.0,45.0,台北一,109,45.0,45.0,18.0,2012,8,9,3
80,芒果-紅龍玉文,R2,77.1,55.0,台北一,109,67.1,67.9,42.0,2012,8,16,3
81,芒果-紅龍玉文,R2,60.0,60.0,台北一,109,60.0,60.0,24.0,2012,9,15,5
82,芒果-紅龍玉文,R2,150.0,135.3,台北一,109,147.1,150.0,61.0,2013,1,25,4
83,芒果-紅龍玉文,R2,55.0,40.0,台北一,109,43.0,40.0,30.0,2013,2,3,6
84,芒果-紅龍玉文,R2,50.0,37.1,台北一,109,46.3,48.2,76.0,2013,2,6,2
85,芒果-紅龍玉文,R2,50.0,50.0,台北一,109,50.0,50.0,10.0,2013,2,7,3
86,芒果-紅龍玉文,R2,55.0,38.0,台北一,109,47.2,47.6,43.0,2013,2,8,4
87,芒果-紅龍玉文,R2,40.0,40.0,台北一,109,40.0,40.0,18.0,2013,2,15,4
88,芒果-紅龍玉文,R2,50.0,40.0,台北一,109,45.0,45.0,12.0,2013,2,23,5
89,芒果-紅龍玉文,R2,43.0,43.0,台北一,109,43.0,43.0,12.0,2013,2,24,6
90,芒果-紅龍玉文,R2,50.0,50.0,台北一,109,50.0,50.0,12.0,2013,3,5,1
91,芒果-紅龍玉文,R2,60.0,60.0,台北一,109,60.0,60.0,30.0,2013,3,9,5
92,芒果-紅龍玉文,R2,50.0,43.7,台北一,109,48.7,50.0,95.0,2013,3,10,6
93,芒果-紅龍玉文,R2,80.0,30.0,台北一,109,43.3,35.6,36.0,2013,3,12,1
94,芒果-紅龍玉文,R2,40.0,21.7,台北一,109,35.0,37.8,36.0,2013,3,13,2
95,芒果-紅龍玉文,R2,50.0,50.0,台北一,109,50.0,50.0,6.0,2013,3,15,4
96,芒果-紅龍玉文,R2,45.0,45.0,台北一,109,45.0,45.0,6.0,2013,3,16,5
97,芒果-紅龍玉文,R2,40.0,40.0,台北一,109,40.0,40.0,6.0,2013,3,17,6
98,芒果-紅龍玉文,R2,35.0,35.0,台北一,109,35.0,35.0,18.0,2013,3,19,1
99,芒果-紅龍玉文,R2,43.5,25.0,台北一,109,31.7,29.9,133.0,2013,3,20,2
100,芒果-紅龍玉文,R2,50.0,50.0,台北一,109,50.0,50.0,6.0,2013,3,22,4
101,芒果-紅龍玉文,R2,76.5,36.2,台北一,109,55.8,55.4,78.0,2013,3,23,5
102,芒果-紅龍玉文,R2,39.7,30.0,台北一,109,31.9,30.0,108.0,2013,3,24,6
103,芒果-紅龍玉文,R2,70.0,40.0,台北一,109,56.0,56.7,180.0,2013,3,26,1
104,芒果-紅龍玉文,R2,34.8,30.0,台北一,109,31.0,30.0,126.0,2013,3,27,2
105,芒果-紅龍玉文,R2,30.0,30.0,台北一,109,30.0,30.0,48.0,2013,3,28,3
106,芒果-紅龍玉文,R2,30.0,30.0,台北一,109,30.0,30.0,24.0,2013,3,29,4
107,芒果-紅龍玉文,R2,70.0,59.4,台北一,109,66.4,67.5,108.0,2013,3,30,5
108,芒果-紅龍玉文,R2,68.6,28.3,台北一,109,47.9,47.5,295.0,2013,4,2,1
109,芒果-紅龍玉文,R2,35.0,25.0,台北一,109,32.5,34.2,24.0,2013,4,3,2
110,芒果-紅龍玉文,R2,77.9,60.0,台北一,109,65.6,63.3,102.0,2013,4,6,5
111,芒果-紅龍玉文,R2,41.8,30.0,台北一,109,32.5,30.2,171.0,2013,4,7,6
112,芒果-紅龍玉文,R2,67.1,35.0,台北一,109,42.5,36.8,44.0,2013,4,9,1
113,芒果-紅龍玉文,R2,50.0,30.0,台北一,109,40.0,40.0,12.0,2013,4,11,3
114,芒果-紅龍玉文,R2,30.0,30.0,台北一,109,30.0,30.0,36.0,2013,4,12,4
115,芒果-紅龍玉文,R2,57.0,35.0,台北一,109,49.7,52.1,18.0,2013,4,13,5
116,芒果-紅龍玉文,R2,40.0,24.1,台北一,109,35.1,37.1,102.0,2013,4,16,1
117,芒果-紅龍玉文,R2,55.0,55.0,台北一,109,55.0,55.0,18.0,2013,4,17,2
118,芒果-紅龍玉文,R2,60.0,35.0,台北一,109,44.5,42.5,19.0,2013,4,18,3
119,芒果-紅龍玉文,R2,55.0,55.0,台北一,109,55.0,55.0,12.0,2013,4,19,4
120,芒果-紅龍玉文,R2,45.0,32.5,台北一,109,41.5,43.3,60.0,2013,4,20,5
121,芒果-紅龍玉文,R2,150.0,150.0,台北一,109,150.0,150.0,30.0,2013,4,23,1
122,芒果-紅龍玉文,R2,30.0,30.0,台北一,109,30.0,30.0,216.0,2013,4,24,2
123,芒果-紅龍玉文,R2,30.0,30.0,台北一,109,30.0,30.0,168.0,2013,4,25,3
124,芒果-紅龍玉文,R2,66.4,40.0,台北一,109,48.2,44.9,84.0,2013,4,26,4
125,芒果-紅龍玉文,R2,80.0,80.0,台北一,109,80.0,80.0,12.0,2013,4,27,5
126,芒果-紅龍玉文,R2,75.0,60.0,台北一,109,71.0,73.3,30.0,2013,4,30,1
127,芒果-紅龍玉文,R2,68.3,30.0,台北一,109,38.3,31.0,138.0,2013,5,1,2
128,芒果-紅龍玉文,R2,60.5,30.0,台北一,109,37.1,31.7,168.0,2013,5,2,3
129,芒果-紅龍玉文,R2,75.0,60.0,台北一,109,70.0,71.7,18.0,2013,5,3,4
130,芒果-紅龍玉文,R2,85.0,70.0,台北一,109,79.0,80.0,30.0,2013,5,4,5
131,芒果-紅龍玉文,R2,70.0,65.0,台北一,109,67.5,67.5,36.0,2013,5,5,6
132,芒果-紅龍玉文,R2,64.2,30.0,台北一,109,44.7,43.2,216.0,2013,5,7,1
133,芒果-紅龍玉文,R2,70.0,35.0,台北一,109,46.3,42.1,48.0,2013,5,8,2
134,芒果-紅龍玉文,R2,51.5,33.1,台北一,109,40.8,39.8,400.0,2013,5,9,3
