,crop_name,crop_num,high,low,market_name,market_num,mean,medium,volume,year,month,day,dayofweek
0,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,46.0,2012,1,7,5
1,鳳梨-開英,B1,12.0,12.0,台北一,109,12.0,12.0,135.0,2012,1,8,6
2,鳳梨-開英,B1,16.0,15.0,台北一,109,15.7,15.8,226.0,2012,1,15,6
3,鳳梨-開英,B1,15.0,14.0,台北一,109,14.3,14.1,288.0,2012,1,17,1
4,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,20.0,2012,1,18,2
5,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,300.0,2012,1,19,3
6,鳳梨-開英,B1,10.0,10.0,台北一,109,10.0,10.0,30.0,2012,2,17,4
7,鳳梨-開英,B1,10.0,10.0,台北一,109,10.0,10.0,560.0,2012,3,9,4
8,鳳梨-開英,B1,17.9,15.0,台北一,109,16.6,16.6,503.0,2012,3,23,4
9,鳳梨-開英,B1,19.8,13.1,台北一,109,16.5,16.5,594.0,2012,3,24,5
10,鳳梨-開英,B1,19.5,15.0,台北一,109,17.0,16.9,870.0,2012,3,28,2
11,鳳梨-開英,B1,14.3,12.0,台北一,109,13.3,13.4,900.0,2012,3,30,4
12,鳳梨-開英,B1,13.0,8.8,台北一,109,11.0,11.0,1383.0,2012,3,31,5
13,鳳梨-開英,B1,11.6,7.9,台北一,109,10.4,10.8,1451.0,2012,4,1,6
14,鳳梨-開英,B1,15.0,9.6,台北一,109,13.9,15.0,640.0,2012,4,14,5
15,鳳梨-開英,B1,10.0,6.0,台北一,109,9.1,9.8,181.0,2012,4,15,6
16,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,340.0,2012,5,4,4
17,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,3153.0,2012,5,9,2
18,鳳梨-開英,B1,27.0,15.0,台北一,109,22.2,22.9,178.0,2012,5,10,3
19,鳳梨-開英,B1,20.0,16.7,台北一,109,19.3,20.0,2408.0,2012,5,19,5
20,鳳梨-開英,B1,13.0,13.0,台北一,109,13.0,13.0,130.0,2012,5,26,5
21,鳳梨-開英,B1,22.0,19.0,台北一,109,21.0,21.3,347.0,2012,6,5,1
22,鳳梨-開英,B1,17.0,15.4,台北一,109,16.7,17.0,564.0,2012,6,7,3
23,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,545.0,2012,6,9,5
24,鳳梨-開英,B1,18.0,17.0,台北一,109,17.3,17.2,721.0,2012,6,10,6
25,鳳梨-開英,B1,23.0,20.0,台北一,109,21.4,21.4,460.0,2012,6,13,2
26,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,194.0,2012,6,15,4
27,鳳梨-開英,B1,21.0,20.0,台北一,109,20.3,20.1,452.0,2012,6,16,5
28,鳳梨-開英,B1,16.0,15.0,台北一,109,15.7,15.8,200.0,2012,6,22,4
29,鳳梨-開英,B1,10.0,10.0,台北一,109,10.0,10.0,210.0,2012,6,23,5
30,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,954.0,2012,6,29,4
31,鳳梨-開英,B1,18.1,15.0,台北一,109,15.6,15.0,884.0,2012,7,4,2
32,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,144.0,2012,7,5,3
33,鳳梨-開英,B1,21.4,15.0,台北一,109,16.8,15.9,892.0,2012,7,6,4
34,鳳梨-開英,B1,20.0,12.1,台北一,109,16.1,16.1,393.0,2012,7,7,5
35,鳳梨-開英,B1,16.0,15.0,台北一,109,15.5,15.5,1128.0,2012,7,10,1
36,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,90.0,2012,7,11,2
37,鳳梨-開英,B1,18.0,18.0,台北一,109,18.0,18.0,198.0,2012,7,12,3
38,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,450.0,2012,7,13,4
39,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,480.0,2012,7,14,5
40,鳳梨-開英,B1,15.0,12.0,台北一,109,13.9,14.1,2004.0,2012,7,17,1
41,鳳梨-開英,B1,15.0,13.0,台北一,109,14.4,14.7,734.0,2012,7,18,2
42,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,920.0,2012,7,19,3
43,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,579.0,2012,7,20,4
44,鳳梨-開英,B1,20.0,14.9,台北一,109,19.0,20.0,140.0,2012,7,21,5
45,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,1132.0,2012,7,25,2
46,鳳梨-開英,B1,26.0,15.0,台北一,109,19.5,18.9,517.0,2012,7,26,3
47,鳳梨-開英,B1,17.7,15.0,台北一,109,15.5,15.0,1734.0,2012,7,27,4
48,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,2770.0,2012,7,28,5
49,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,864.0,2012,7,29,6
50,鳳梨-開英,B1,17.4,15.0,台北一,109,15.5,15.0,1956.0,2012,7,31,1
51,鳳梨-開英,B1,15.0,13.9,台北一,109,14.8,15.0,911.0,2012,8,1,2
52,鳳梨-開英,B1,15.0,14.9,台北一,109,15.0,15.0,1109.0,2012,8,2,3
53,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,1371.0,2012,8,3,4
54,鳳梨-開英,B1,21.6,15.0,台北一,109,16.9,16.0,1113.0,2012,8,4,5
55,鳳梨-開英,B1,15.0,10.0,台北一,109,12.0,11.7,4025.0,2012,8,7,1
56,鳳梨-開英,B1,15.3,8.0,台北一,109,11.6,11.5,980.0,2012,8,8,2
57,鳳梨-開英,B1,14.8,8.6,台北一,109,12.4,12.8,912.0,2012,8,9,3
58,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,900.0,2012,8,10,4
59,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,1325.0,2012,8,11,5
60,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,814.0,2012,8,12,6
61,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,1265.0,2012,8,14,1
62,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,782.0,2012,8,15,2
63,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,432.0,2012,8,19,6
64,鳳梨-開英,B1,15.0,15.0,台北一,109,15.0,15.0,48.0,2012,8,21,1
65,鳳梨-開英,B1,20.0,15.0,台北一,109,17.8,18.0,534.0,2012,8,22,2
66,鳳梨-開英,B1,20.0,15.0,台北一,109,17.7,17.9,372.0,2012,8,23,3
67,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,144.0,2012,8,24,4
68,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,164.0,2012,8,25,5
69,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,60.0,2012,8,28,1
70,鳳梨-開英,B1,30.0,14.2,台北一,109,21.9,21.7,818.0,2012,8,30,3
71,鳳梨-開英,B1,25.0,25.0,台北一,109,25.0,25.0,300.0,2012,8,31,4
72,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,144.0,2012,9,2,6
73,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,48.0,2012,9,5,2
74,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,90.0,2012,9,6,3
75,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,90.0,2012,9,8,5
76,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,160.0,2012,9,9,6
77,鳳梨-開英,B1,20.0,20.0,台北一,109,20.0,20.0,492.0,2012,9,11,1
